Processo,Parlamentar,Parlamentar 2,Parlamentar 3,Proposta,Tipo de recurso,Tipo,Ano,Objeto,Ação,Forma de Execução,Local de Execução,Diretoria,DATA DO REPASSE,Valor da Emenda,Valor Empenhado,Valor Pago,Percentual do Valor empenhado pago,Situação no FNS,Observação
00045.054347/2025-65, JULIO ACORVERDE,,,36000701255202500,EMENDA DE BANCADA,INCREMENTO PAP,2025,"Custeio de locação veicular, utilizada especialmente na busca ativa de vacinação",,DIRETA,FMS/UBS,DAB,27/10/2025,"R$ 1.160.040,00","R$ 0,00",,,APROVADA COM REPASSE,EM 03/08/2026 SEPLAN INFORMA QUE A SOLICITAÇÃO DE COTA ORÇAMENTÁRIA FOI ATENDIDA. AGUARDANDO EMPENHO DO NUOREM
00045.066225/2025-41,SEN. JUSSARA LIMA,,,36000711319202500,EMENDA DA COMISSÃO DE ASSUNTOS SOCIAIS - CAS,INCREMENTO PAP,2025,Custeio de conectividade de dados das UBS da rede,,DIRETA,FMS/ UBS,DAB,06/11/2025,"R$ 500.000,00","R$ 500.000,00","R$ 394.033,00","78,81%",APROVADA COM REPASSE,"ESPERANDO A CONFIRMAÇÃO DA GTI SE ENCERRA EM OUTUBRO/2026 ATENÇÃO O CONTRATO É DE prestação de serviços de tecnologia da informação em nuvem e apoio à gestão tecnológica para a Fundação Municipal de Saúde (FMS), CUIDADO COM A DUPLICIDADE DE OBJETOS"
00045.060731/2025-66, ÁTILA LIRA,JULIO ARCOVERDE,,36000708752202500,EMENDA DE COMISSÃO DE SAÚDE,INCREMENTO PAP,2025,Atividades para Fortalecimento da Atenção Primária à Saúde. AÇÃO: MANUTENÇÃO PREDIAL DAS UBS DA REDE,,DIRETA,FMS/UBS,DAB,16/12/2025,"R$ 10.000.000,00","R$ 0,00","R$ 0,00","0,00%",APROVADA COM REPASSE,GERÊNCIA PRODUZIU O DOCUMENTO DE FORMALIZAÇÃO DE DEMANDA EM 10/07/2026 CONTUDO APÓS SOLICITAÇÃO DO GAB-PRES-FMS RETORNOU PARA AJUSTES
00045.066345/2025-02, ÁTILA LIRA ,JULIO ARCOVERDE,,36000711382202500,EMENDA DE COMISSÃO DE SAÚDE,INCREMENTO PAP,2025,Atividades para Fortalecimento da Atenção Primária à Saúde. AÇÃO  : Aquisição de reagentes laboratorial para acompanhamento de pacientes com HAS crônica na Atenção Primária. ,,DIRETA,FMS/ C.D.RAUL BACELLAR,DAB,22/12/2025,"R$ 4.247.000,00","R$ 4.088.166,60","R$ 3.915.841,10","91,84%",APROVADA COM REPASSE,EM EXECUÇÃO. COM NOTAS DE EMPENHOS EMITIDAS E PAGAMENTO PARCIAL
00045.060250/2025-55, ÁTILA LIRA ,JULIO ARCOVERDE,,36000710907202500,EMENDA DE COMISSÃO DE SAÚDE,INCREMENTO PAP,2025,Aquisição de insumos para o fortalecimento da rede de atenção odontológica.,,DIRETA,FMS/ GESB,DAB,22/12/2025,"R$ 1.000.000,00","R$ 0,00",,,APROVADA COM REPASSE,AGUARDANDO FINALIZAÇÃO DE LICITAÇÃO ( O processo de licitação é o 00045.035397/2024-43 EDITAL PUBLICADO EM 25/08/2026
00045.076225/2025-89,SEM PROPONENTE,,,63000723734202500,PROGRAMA,CUSTEIO PAP,2025,"Custeio de Serviços da Atenção Primária à Saúde (R$ 2.500.000,00) e  AÇÃO 2:  Estratégia de busca ativa para vacinação e controle de doenças transmissíveis: (R$ 2.500.000,00)","AÇÃO 1: Custeio de Serviços da Atenção Primária à Saúde - Outras Ações:  manutenção preventiva e corretiva de INFORMÁTICA e também de locação de IMPRESSORAS. Valor: R$ 2.500.000,00 ",DIRETA,FMS/UBS,DAB,21/01/2026,"R$ 5.000.000,00","R$ 0,00","0,00%","0,00%",APROVADA COM REPASSE,AÇÃO 1:  GERÊNCIA DE TECNOLOGIA DA INFORMAÇÃO ESTÁ AGUARDANDO FINALIZAÇÃO DA LICITAÇÃO. 
00045.076225/2025-89,SEM PROPONENTE,,,63000723734202500,PROGRAMA,CUSTEIO PAP,2025,"Custeio de Serviços da Atenção Primária à Saúde (R$ 2.500.000,00) e  AÇÃO 2:  Estratégia de busca ativa para vacinação e controle de doenças transmissíveis: (R$ 2.500.000,00)","AÇÃO 2:  Estratégia de busca ativa para vacinação e controle de doenças transmissíveis:  LOCAÇÃO E MANUTENÇÃO DE VEÍCULO. Valor: R$ 2.500.000,00",DIRETA,FMS/UBS,DAB,21/01/2026,"R$ 5.000.000,00","R$ 1.943.676,00","0,00%","0,00%",APROVADA COM REPASSE,"AÇÃO 2:  Nota de Empenho 5634/2026 (16497192) emitida em 02/09/2026 no valor de R$ 1.943.676,00"
00045.052139/2025-26                  ,SEM PROPONENTE,,,63000711366202500,PROGRAMA,CUSTEIO PAP,2025,"Custeio de Serviços da Atenção Primária à Saúde - Outras Ações (R$ 5.000.000,00): Manutenção Predial UBS e  Estratégia de rastreamento e controle de condições crônicas (R$ 5.000.000,00)","AÇÃO 1:  Processo: 00045.025219/2026-42 Custeio de Serviços da Atenção Primária à Saúde - Outras Ações (R$ 5.000.000,00): Manutenção Predial UBS (R$ 3,0 mi): MUTUAL",DIRETA,FMS /UBS ,DAB,18/11/2025,"R$ 10.000.000,00","R$ 3.000.000,00","R$ 0,00","0,00%",APROVADA COM REPASSE,"Processo 00045.025219/2026-42 (MUTUAL) :EMPENHO DE 3 MILHÕES CONTRATO 212/2026 MUTUAL REALIZADO. e ordens de serviço emitidas  Processo 00045.052139/2025-26 EMPENHO REAGENTES REALIZADO início dos pagamentos ,  Processo: 00045.039632/2026-55 Manutenção Predial UBS (R$ 2,0 mi) Contrato apostilado. e ordens de serviço emitidas"
00045.025219/2026-42,SEM PROPONENTE,,,63000711366202500,PROGRAMA,CUSTEIO PAP,2025,"Custeio de Serviços da Atenção Primária à Saúde - Outras Ações (R$ 5.000.000,00): Manutenção Predial UBS e  Estratégia de rastreamento e controle de condições crônicas (R$ 5.000.000,00)","AÇÃO 1: Proceso: 00045.039632/2026-55  Custeio de Serviços da Atenção Primária à Saúde - Outras Ações (R$ 5.000.000,00):  Manutenção Predial UBS (R$ 2,0 mi): Fe L",DIRETA,FMS /UBS ,DAB,18/11/2025,"R$ 10.000.000,00"," R$ 400.000,00","R$ 0,00","0,00%",APROVADA COM REPASSE,
 00045.039632/2026-55,SEM PROPONENTE,,,,,,,"Custeio de Serviços da Atenção Primária à Saúde - Outras Ações (R$ 5.000.000,00): Manutenção Predial UBS e  Estratégia de rastreamento e controle de condições crônicas (R$ 5.000.000,00)","AÇÃO 2: Estratégia de rastreamento e controle de condições crônicas (R$ 5.000.000,00): estratégia de rastreamento de controle das condições crônicas, adquirindo reagente laboratorial de exames para cumprir a Linha de Cuidado dos usuários do SUS com HIPERTENSÃO ARTERIAL SISTÊMICA e DIABETES para acompanhamento de pacientes com HAS crônica na Atenção Primária: CENTRO DE DIAGNÓSTICO POR EXAMES RAUL BACELLAR",DIRETA,FMS /UBS ,DAB,18/11/2025,"R$ 10.000.000,00"," R$ 5.022.148,49","R$ 835.991,07","16,64%",APROVADA COM REPASSE,
